,"Page ID",Class,Abstract,ServiceType,TrajectID,Jaar,VlocaSessie,Draaiboek,Deliverable,Actoren,Organisatie,Organisaties,Standaard,Status,SmartCityDomein,SmartCityIndicator,Beleidsthema,Initiatief,InitiatiefLink,Website,VlocaTraject,SessieType,ArchitectuurComponent,ArchitectuurBouwlaag,TypeDeliverable,TypeNieuws,Datum,Tijd,Locatie,Versie
"3D referentie architectuur E-LSP",359,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3D tiles",292,Standaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB,515,Organisatie,,,,,,,,,,,,,,,,,,Https://www.vlaanderen.be/agentschap-binnenlands-bestuur,,,,,,,,,,
ADV,"1,287",Organisatie,,,,,,,,,,,,,,,,,,Https://www.vlaanderen.be/digitaal-vlaanderen,,,,,,,,,,
ANPR,504,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ANPR-camera's - Turnhout","1,643",Initiatief,,,,,,,,,"Stad Turnhout",,,,,,,,,,,,,,,,,,,
API,226,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArchitectuurComponent:API gateway",965,ArchitectuurComponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draaiboek:API om de mobipunt-gerelateerde data te ontsluiten","1,024",Draaiboek,,,,,,,,"Kennisinstellingen,Overheden",IMEC,,,,"Smart Mobility",,,,,,"VlocaTraject:Combimobiliteit- Hoppin punten",,,,,,,,,
API-first,227,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API-led,"1,066",TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VlocaTraject:API-led,"1,271",VlocaTraject,,Ondersteuning,,,,,,,,,,,,,,,,,,,,,,,,,,
CoCreatieAanvraag:API-led,"1,067",CoCreatieAanvraag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUAFIN,"1,031",Organisatie,,,,,,,,,,,,,,,,,,Https://www.aquafin.be/nl-be/over-aquafin,,,,,,,,,,
AWV,502,Organisatie,,,,,,,,,,,,,,,,,,Https://wegenenverkeer.be/,,,,,,,,,,
"Deliverable:Aankondiging start publieke review","1,386",Deliverable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deliverable:Aanmaak co-creatie pagina op de kennishub","1,387",Deliverable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agoria,498,Organisatie,,,,,,,,,,,,,,,,,,Https://www.agoria.be/nl,,,,,,,,,,
"Algemene Verordening Gegevensbescherming of AVG",739,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alliance for Internet of Things Innovation",268,Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VlocaTraject:Antwerp Living Labs: levendige en leefbare (universiteits)buurt","1,270",VlocaTraject,,Ondersteuning,,,,,,,"Stad Antwerpen",,,,"Smart Environment,Smart People,Smart Living",,,,,,,,,,,,,,,
"CoCreatieAanvraag:Antwerp Living Labs: levendige en leefbare (universiteits)buurt","1,035",CoCreatieAanvraag,,,,,,,,,,,,,"Smart People",,,,,,,,,,,,,,,
Anyways,521,Organisatie,,,,,,,,,,,,,,,,,,Https://www.anyways.eu/,,,,,,,,,,
"Apache Druid",587,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applications,"1,108",TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architectuur,213,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliverable:Architectuurstandaard,"1,490",Deliverable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/4,"1,565",Wiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArchitectuurComponent:Asset Registry",966,ArchitectuurComponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Augmented Reality Markup Language 2.0 (ARML20.0)",293,Standaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Authentieke gegevensbron",710,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoCreatieAanvraag:B-WaterSmart,"1,029",CoCreatieAanvraag,,,,,,,,,Mechelen,"AQUAFIN,PROVANT,Proefstation voor Groententeelt,VLAKWA",,"In co-creatie","Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
VlocaTraject:B-WaterSmart,"1,269",VlocaTraject,,Ondersteuning,,"2020,2021,2022,2023,2024",,,,,Mechelen,,,,"Smart Environment",,,,,Https://b-watersmart.eu/about/,,,,,,,,,,
"BEReSLIM - Boilers en Ruimteverwarmers elektrisch SLIM sturen - Genk","1,650",Initiatief,,,,,,,,,"Stad Genk",,,,,,,,,,,,,,,,,,,
"Backward compatibility",560,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basisregister,711,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beheerder,779,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beleidsdomeinen,"1,295",TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliverable:Bestekteksten,"1,390",Deliverable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouwlagen,"1,092",TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArchitectuurBouwlaag:Bouwlagen OpenDei",962,ArchitectuurBouwlaag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burenondersteuning - Aalst","1,657",Initiatief,,,,,,,,,Aalst,,,,,,,,,,,,,,,,,,,
VlocaTraject:Burgerloket,"1,282",VlocaTraject,,Traject,,2022,,,,,Mechelen,,,Geregistreerd,"Smart Government",,,"Gemeente zonder gemeentehuis",,,,,,,,,,,,
CDS-M,709,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEN/TC465,353,Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada-OpenNorth,484,Organisatie,,,,,,,,,,,,,,,,,,Https://opennorth.ca/,,,,,,,,,,
"Center for Digital Twin Britain","1,135",Organisatie,,,,,,,,,,,,,,,,,,Https://www.cdbb.cam.ac.uk/,,,,,,,,,,
"VlocaSessie:Circulaire Economie Workshop 1","1,216",VlocaSessie,,,,,,,,Overheden,VITO,,,,,,,,,,"VlocaTraject:Circulaire economie","Business werkgroep",,,,,"28 October 2021",,,
"VlocaSessie:Circulaire Economie Workshop 2","1,217",VlocaSessie,,,,,,,,Overheden,VITO,,,,,,,,,,"VlocaTraject:Circulaire economie","Data en informatie werkgroep",,,,,"9 March 2022",,,
"File:Circulaire Economie Workshop 2 0.pdf","1,314",File,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VlocaTraject:Circulaire economie",983,VlocaTraject,,Traject,,"2021,2022",,,,,"Stad Leuven,VITO",,,"In co-creatie","Smart Environment",,,Sharepair,,,,,,,,,,,,
"Citerra - City Environmental Regulations and Rights for Access","1,709",Initiatief,,,,,,,,,"Stad Antwerpen,Mobiliteit en Parkeren Antwerpen",,,,,,,"City of Things 2022",,,,,,,,,,,,
"Citizen participation","1,228",TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Things","1,197",Initiatief,"City of Things",,,,,,,,VLAIO,,,,,,,,,Https://www.vlaio.be/nl/vlaio-netwerk/city-things-slimme-steden-en-gemeenten,,,,,,,,,,
"City of Things 2018","1,636",Initiatief,,,,,,,,,VLAIO,,,,,,,"ANPR-camera's - Turnhout,BEReSLIM - Boilers en Ruimteverwarmers elektrisch SLIM sturen - Genk,Burenondersteuning - Aalst,Databroker - Gent,De creatie van open (IoT) data awareness bij lokale overheden - Leuven,EVENTMACHIEN - Pepingen,Geconnecteerde openbare verlichting op fietspaden - Mechelen,Gemeentelijk sensornetwerk voor luchtkwaliteitsmetingen - Kampenhout,Marktplaats Smart City - Bonheiden,MoDi:2B - Mobiliteit als een dienst aan burgers via derde-betalersystemen - Leuven,Mobiliteitsmanagement met ANPR - Puurs,Museum of Things for People - Gent,Oases van rust - Dendermonde,Slim beheer openbaar domein - Edegem,Slim gemeentevuil - Neerpelt,Slimme IoT technologie gekoppeld aan slimme zorgverlening voor levensloopbestendig wonen - Leuven,Slimme mobipunten - Peer,Smart Flow - Herent,Structurering innovatieve studentenprojecten in studentensteden - Leuven,Wegdekkwaliteitsinspectie - Lubbeek",,Https://www.vlaio.be/nl/vlaio-netwerk/city-things-slimme-steden-en-gemeenten/city-things,,,,,,,,,,
"City of Things 2019","1,639",Initiatief,,,,,,,,,VLAIO,,,,,,,"Een digitale innovatietrack ter ondersteuning van een leefbare en bruisende universiteitsbuurt – Antwerpen (welzijn),Gemeentelijk sensornetwerk voor luchtkwaliteitsmetingen - Kampenhout,IoT gestuurde mobipunten – Aalst (mobiliteit),Monitoring energetische renovaties – Gent (energie),Monitoring van de Laak – Tremelo (waterbeheer),Move&Shop – Vilvoorde (mobiliteit),Nachtlawaai verminderen d.m.v. technologie en nudging – Leuven (geluidsoverlast),Netwerkregelingen in een stedelijke context – Antwerpen (mobiliteit),Proactive Openbaarheid van Bestuur als Linked Open Data – Gent (bestuur),Rainbrain – Roeselare (waterbeheer),Slimme mobiliteit als hoeksteen van een levendige dorpskern – Geetbets (mobiliteit),VGS@school – Ingelmunster (mobiliteit)",,Https://www.vlaio.be/nl/vlaio-netwerk/city-things-slimme-steden-en-gemeenten,,,,,,,,,,
"City of Things 2020","1,640",Initiatief,,,,,,,,,VLAIO,,,,,,,"Data-gestuurde winkelgebieden – Mechelen,De Sint-Niklase Stadsmunt – Sint-Niklaas,INVEST – POM West-Vlaanderen,LocusFocus – POM Vlaams-Brabant,Lokaal 3D Project – Provincie Oost-Vlaanderen,Smart Retail Area – Antwerpen,VLOED - Gent,Wij Leveren – Leuven",,Https://www.vlaio.be/nl/vlaio-netwerk/city-things-slimme-steden-en-gemeenten,,,,,,,,,,
